# units: length=mm, velocity=mm/s
x y z u v w
-8.725247 -5.863733 9.515695 1.178568 6.300550 -1.285338
5.640149 -3.484494 -5.349954 -1.562798 10.780130 1.482389
3.145880 -10.024506 5.528193 -1.162737 10.395921 -2.043255
14.137692 -8.056137 14.364197 -0.791058 3.967324 -0.803732
5.351598 -12.931266 -1.861131 -1.613068 9.432143 0.560978
12.367357 6.318512 -5.552868 1.555825 5.996066 -0.698556
7.485701 -8.955681 -13.388974 -0.826097 5.322235 1.477563
-10.883341 -5.116794 -1.113819 1.964390 7.488141 0.201039
-7.474527 10.104845 -9.814580 -1.259526 6.559996 -1.653846
-11.856990 -13.066728 3.154176 1.860812 6.343490 -0.495010
11.351741 3.251880 13.823628 0.425879 4.351313 0.518615
7.193004 11.537642 13.738810 0.804229 5.256712 1.536097
1.477952 14.005535 -0.160386 0.485646 10.150953 -0.052702
-7.239258 -1.543081 5.281246 0.777447 9.245324 -0.567170
-5.411490 12.910528 -7.773626 -1.151865 7.584197 -1.654659
-5.125493 -7.716691 -4.625713 2.048987 10.891080 1.849193
-15.839285 4.115345 -6.963753 -0.800333 4.536032 -0.351867
-13.821194 3.738527 -10.357558 -0.646027 4.532130 -0.484130
-6.259572 -1.891622 -11.193525 0.346987 6.177159 0.620491
-9.026276 -0.821340 -0.756197 0.515694 9.123898 0.043203
-7.832565 -6.477911 -7.069852 1.677989 7.774625 1.514592
-7.661465 -0.551629 -9.216671 0.151655 6.623899 0.182440
-0.139821 -8.119638 10.831445 0.029638 7.513129 -2.295937
-10.235821 11.589001 -10.294418 -1.287476 5.592752 -1.294846
8.017003 3.555853 -9.307039 0.866047 6.547770 -1.005405
8.315917 -8.023662 -13.261705 -0.845201 5.194133 1.347874
3.777815 1.182987 4.304855 0.450871 16.089837 0.513772
-10.420029 -8.058736 5.914336 1.841065 6.825538 -1.044976
-13.412107 12.002355 -2.281780 -1.868238 5.910486 -0.317840
3.788614 -5.980624 -10.273189 -0.734495 7.492642 1.991653
-15.689212 -9.278625 11.840022 1.006994 4.106986 -0.759938
15.130554 -1.862645 -3.880016 -0.488137 4.988370 0.125176
-7.169693 14.915331 -14.137517 -0.736780 5.039166 -1.452816
-2.920515 -10.603877 -8.315390 0.769527 8.471832 2.191023
8.960251 -9.479437 1.665631 -2.396499 8.513681 -0.445488
-4.256187 0.233015 -5.329991 -0.108399 12.961328 -0.135747
-6.952906 -6.981430 -13.267799 0.732749 5.412452 1.398259
